"Start Guessing Game","Start Guessing Game"
"Guess a number between 1 and 50","Guess a number between 1 and 50"
"Guessing Game","Guessing Game"
"Guess a number","Guess a number"
"Ex: 5","Ex: 5"
Guess,Guess
Restart,Restart
"Congratulations you guessed it!","Congratulations you guessed it!"
"You tried the numbers: ","You entered the numbers: "
"The number entered was above the random number","The number entered was above the random number"
"The number entered was below the random number","The number entered was below the random number"
"Arthur Wiebusch","Arthur Wiebusch"
General,General
"Enable Guessing Game","Enable Guessing Game"
"Want to play something? play our guessing game","Want to play something? play our guessing game"
